economic,body_eco
0,'นายรณชิต แย้มสอาด รักษาการรองผู้ว่าการ ปฏิบัติการ การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย รฟม กล่าวถึงความคืบหน้ากรณีที่บริษัททางด่วนและรถไฟฟ้ากรุงเทพ จำกัด มหาชน หรือบีอีเอ็ม ได้ดำเนินการการจัดซื้อรถไฟฟ้าจำนวน35ขบวนเตรียมให้บริการรถไฟฟ้าสายสีน้ำเงินส่วนต่อขยาย 2ช่วง ได้แก่ รถไฟฟ้าสายสีน้ำเงินช่วงเตาปูนท่าพระ และหัวลำโพงบางแค ว่า ขณะนี้การดำเนินการจัดซื้อรถไฟฟ้าทั้ง35ขบวนเป็นไปตามขั้นตอน อยู่ระหว่างดำเนินการประกอบตัวรถ คาดว่าจะดำเนินการจัดส่งมาทางเครื่องบินจำนวน1ขบวนหรือ3ตู้ ได้ภายในปลายปี61 และหลังจากนั้นทางบริษัทจะต้องมีการทดลองระบ12เดือน ก่อนจะออกให้บริการขบวนแรกในเดือนเมย62 และจะทยอยส่งเข้ามาอีก 3 ขบวน ผ่านทางเรือ และจะทยอยทดสอบก่อนออกให้บริการในสายสีน้ำเงินหัวลำโพงเตาปูน จำนวน 8 ขบวน ส่วนที่เหลืออีก27ขบวน จะใช้กับรถไฟฟ้าสายสีน้ำเงินส่วนต่อขยาย คาดว่าจะได้รถครบทั้ง35ขบวนภายในปี 62 นายรณชิต กล่าวต่อว่า สำหรับรถจำนวน8ขบวนที่จะมาเสริมสายสีน้ำเงินช่วงหัวลำโพงเตาปูน นั้น จะสามารถเพิ่มการรองรับผู้โดยสารได้ขบวนละประมาณ 800 คน รวม8ขบวนจะสามารถรองรับผู้โดยสารได้สูงสุด 640000 คน อีกทั้งยังจะสามารถลดความถี่การให้บริการจาก 3 นาที เป็น 2 นาที ได้ เนื่องจากมีจำนวนรถที่เพิ่มขึ้น จากเดิม19ขบวน เป็น27ขบวน ซึ่งจะช่วยลดความแออัดของผู้โดยสารบริเวณชานชาลาในชั่วโมงเร่งด่วนได้ นายรณชิต กล่าวอีกว่า ส่วนมาตรการเพิ่มพื้นในห้องโดยสารที่บีอีเอ็มได้ดำเนินการถอดที่นั่งภายในตู้กลาง จำนวน1ขบวน นั้น ขณะนี้ยังอยู่ระหว่างรวบรวมข้อมูลจำนวนผู้โดยสารต่ออีก12เดือน เนื่องจากการถอดเบาะโดยสารเพียง1 ขบวนยังทำการประเมินได้ไม่มากเท่าที่ควร แต่อย่างไรก็ตามก็ต้องมีผลสรุปที่ชัดเจนว่าจะเป็นในรูปแบบไหน รายงานข่าวแจ้งว่าเตรียมปรับขึ้นค่าโดยสารรถไฟสายสีน้ำเงิน ช่วงหัวลำโพงเตาปูน จำนวน 3 สถานี สถานีละ 1 บาท ในเดือน กค นี้ โดยเป็นการปรับขึ้นตามสัญญาสัมปทานที่ต้องพิจารณาทุก ๆ 2 ปี แต่การปรับขึ้นครั้งนี้ถือว่าไม่แพง เพราะเป็นการปรับขึ้นค่าโดยสารเพียง 3 สถานี จากทั้งหมด 19 สถานี ซึ่งต้องเสนอเข้าคณะกรรมการบอร์ดรฟมจากนั้น จะต้องเสนอคณะรัฐมนตรี ครม รับทราบก่อนปรับราคา                                                                  5'
1,'เมื่อเวลา 1030 นวันที่ 30 มคที่กระทรวงคมนาคม นายวิวัฒน์ สมบัติหลาย ประธานกลุ่มธรรมาภิบาล เครือข่ายภาคประชาชนด้านทุจริตและคอร์รัปชั่น เดินทางมายื่นหนังสือที่สำนักงานรัฐมนตรีกระทรวงคมนาคม ถึงนายอาคม เติมพิทยาไพสิฐ รมวคมนาคม เรื่อง ขอให้ระงับการเสนอชื่อชื่อคณะรัฐมนตรีครม เพื่อให้นายภคพงศ์ ศิริกันทรมาศ เป็นผู้ว่าการรถไฟขนส่งมวลชนแห่งประเทศไทย รฟม คนใหม่ โดยนายวิวัฒน์ กล่าวว่า กลุ่มธรรมาภิบาลได้เคยไปยื่นหนังสือเรื่องดังกล่าวถึงพลอประยุทธ์ จันทร์โอชา นายกรัฐมนตรี ผู้ตรวจการแผ่นดิน และผู้อำนวยการสำนักงานคณะกรรมการนโยบายรัฐวิสาหกิจสคร มาแล้ว เพื่อขอให้ทบทวนและตรวจสอบการเสนอให้นายภคพงศ์เป็นผู้ว่า รฟมคนใหม่ ว่าถูกต้องและเหมาะสมหรือไม่ เนื่องจากคณะกรรมการสอบวินัยร้ายแรงของรฟมมีข้อกล่าวหาว่านายภคพงศ์กระทำผิดวินัยร้ายแรงฐานประมาทเลินเล่อ เป็นเหตุให้รฟมได้รับความเสียหายร้ายแรง เมื่อครั้งเป็นผอฝ่ายบริหารงานก่อสร้าง ในฐานะรองผอโครงการก่อสร้างด้านการบริหารงานก่อสร้าง สำหรับงานก่อสร้างโครงการรถไฟฟ้าสายสีน้ำเงิน ช่วงหัวลำโพงบางแค และช่วงบางซื่อท่าพระ เป็นเหตุให้รฟมต้องมีการเพิ่มมูลค่างานให้เอกชนเป็นผู้รับจ้างเป็นจำนวน 290 ล้านบาทซึ่งขัดกับสัญญาหลักตามความเห็นของสำนักงานตรวจเงินแผ่นดินสตงนายวิวัฒน์ กล่าวต่อว่า ขณะนี้นายภคพงศ์อยู่ระหว่างการตรวจสอบของ สตงและคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ปปช ว่ามีพฤติกรรมที่น่าเชื่อว่าเป็นการทุจริต หรือมีการใช้อำนาจหน้าที่โดยมิชอบก่อให้เกิดความเสียหายแก่เงินแผ่นดิน ดังนั้นเพื่อให้ความโปร่งใส และเกิดความเหมาะสมในการบริหารงานของรฟมอีกทั้งเพื่อไม่ให้สาธารณชนเข้าใจว่าได้มีเอกชนเข้ามาครอบงำหรือมีผลประโยชน์แอบแฝงต่อองค์กรและผู้ดำรงตำแหน่งผู้ว่า รฟมจึงต้องการให้ยุติการเสนอชื่อนายภคพงศ์ต่อ ครมไว้ก่อน และให้ตรวจสอบการกระทำผิดวินัยดังกล่าวว่าเป็นการทำผิดฐานปฏิบัติหรือละเว้นการปฏิบัติหน้าที่โดยไม่ชอบตามประมวลกฎหมายอาญา มาตรา 157 หรือไม่ และให้ตรวจสอบการกระทำของบุคคลดังกล่าวด้วยว่าทำให้สูญเสียเงิน 290 ล้านบาทที่เป็นภาษีของประชาชน เป็นการกระทำที่มีเจตนาต่อการเอื้อประโยชน์กับเอกชนที่เป็นผู้รับจ้างรับสัมปทานด้วยหรือไม่ พร้อมให้ดำเนินการแก้ไขปัญหาการสรรหาผู้ว่ารฟมให้ถูกต้องและโปร่งใสอย่างเร่งด่วนอย่างไรก็ตามอยากให้ครมรอผลการตรวจสอบของ สตงและปปชให้เรียบร้อยก่อนจะมีการพิจารณาแต่งตั้งผู้ว่ารฟมคนใหม่ เพื่อให้เกิดความสง่างาม แต่หากครมมีมติเห็นชอบให้นายภคพงศ์เป็นผู้ว่ารฟมคนใหม่ แล้วผลสอบของสตงและปปชชี้ว่านายภคพงศ์มีความผิดฐานกระทำทุจริตก็จะเกิดความเสียหายอย่างมาก และจะถือเป็นมติการแต่งตั้งโดยมิชอบ                                                                  5'
2,'นายอภิชาติ ชโยภาส กรรมการผู้จัดการ บริษัท ท่าเรือราชาเฟอร์รี่ จำกัด มหาชน หรือ RP เปิดเผยว่า ตั้งแต่วันที่ 1 กพนี้เตรียมเปืดเที่ยวเรือเพิ่ม อีก 2 เที่ยว รอบเวลา 1200 น จากเกาะสมุยไปเกาะพะงัน และรอบเวลา 1400 นจากเกาะพะงันไปเกาะสมุย ซึ่งจะทำให้มีเที่ยวเรือให้บริการในเส้นทางนี้ทั้งขาไปและขากลับรวมวันละ 8 เที่ยว  สืบเนื่องจากแนวโน้มตลาดการท่องเที่ยวในปีนี้มีทิศทางที่ดีขึ้น โดยเฉพาะกลุ่มทัวร์จากประเทศจีนที่ชื่นชอบเดินทางมาท่องเที่ยวเกาะสมุยและเกาะพะงัน สอดคล้องกับยอดผู้ใช้บริการในปีที่ผ่านมาระหว่าง 2 เกาะ เติบโตเพิ่มขึ้นถึง 20% ดังนั้น RP จึงได้เพิ่มเที่ยวเรือไปกลับระหว่างเกาะสมุยและเกาะพงันนายอภิชาติ กล่าวว่า เห็นศักยภาพและโอกาสทางธุรกิจเส้นทางระหว่างเกาะสมุยและเกาะพะงัน ที่โตขึ้นอย่างชัดเจน มีนักท่องเที่ยวกลุ่มทัวร์จีนมาเที่ยวเพิ่มขึ้นทุกปี เนื่องจากใช้ระยะเวลาเดินทางไม่นานและค่าใช้จ่ายไม่สูงมากนัก ประเทศไทยจึงอยู่ในอันดับต้นๆ ที่คนจีนชอบ การเพิ่มเที่ยวเรือเส้นทางระหว่างเกาะสมุยเกาะพะงัน จะช่วยอำนวยความสะดวกให้นักท่องเที่ยวและผู้โดยสารที่ต้องการเดินทางระหว่างเกาะทั้งสองแห่งได้รับความสะดวกมากยิ่งขึ้นทั้งนี้ปัจจุบัน RP มีกองเรือเฟอร์รี่ทั้งหมด 14 ลำ เปิดให้บริการทุกวันตั้งแต่เวลา 05001900 น ใน 3 เส้นทาง ประกอบด้วย ดอนสักสมุยดอนสัก มีเที่ยวเรือไปกลับวันละ 30 เที่ยว เส้นทางดอนสักพะงันดอนสัก วันละ 12 เที่ยว และเส้นทางสมุยพะงันสมุย วันละ 6 เที่ยว สามารถดูตารางรอบเรือได้ที่ wwwrajaferryportcom หรือสอบถามข้อมูลเพิ่มเติมได้ที่Call Center โทร0227682112 09224734235                                                                    5'
3,'นายอาคม เติมพิทยาไพสิฐ รมวคมนาคม เปิดเผยถึงกรณีที่มีตำรวจทางหลวงตั้งด่านเรียกรถบนถนนทางหลวง จนเกิดอุบัติเหตุ บนท้องถนน ว่า ในเรื่องดังกล่าว ได้สั่งการให้ กรมทางหลวงประสานงานกับ ตำรวจทางหลวง ถึงการตั้งด่านตรวจบนถนนทางหลวง ให้มีมาตรฐานและความเข้าใจตรงกันในเรื่องตั้งการตั้งด่านระยะปลอดภัย เพื่อป้องกันไม่ให้เกิดอุบัติเหตุบนท้องถนน เพราะตามหลักการที่กรมทางหลวงอนุญาตให้ กรมการขนส่งทางบกขบตั้งด่านคือด่านชั่งน้ำหนักรถบรรทุกเกินพิกัด ส่วนตำรวจทางหลวงตั้งด่าน ตามกฎหมายก็สามารถตั้งด่าน แต่ทั้งนี้ทั้งนั้น ได้ให้หน่วยงานที่เกี่ยวข้องหารือร่วมกันเพื่อทำความเข้าใจไม่ให้เกิดอุบัติเหตุจากหลักการพบว่าหากขับรถด้วยความเร็ว 100กมชม ระยะห่างรถคันหน้าจะห่างกันที่ 277 เมตร หรือประมาณ 1 ช่วงเสาไฟฟ้า และหากขับรถที่ความเร็ว 60กมชม ระยะห่างคันหน้าจะห่างกันที่ 20 เมตร ดังนั้นการขับรถในทางปฎิบัติต้องดูระยะห่างให้ดี หากคนขับรถถูกตำรวจทางหลวงเรียกขณะขับรถ ในทางปฏิบัติอย่าเบรกกะทันหันเพราะอาจถูกรถคันหลังที่ตามมาชนท้ายได้ ทางที่ดีควรค่อยๆลดความเร็วและลงไหล่ทาง เพราะลดการเกิดอุบัติเหตุ รมวคมนาคม กล่าว                                                                  5'
4,'นสบุษยง มิ่งขวัญยืน ผู้อำนวยการฝ่ายเครื่องสำอางและน้ำหอม บริษัท ไอซีซีอินเตอร์เนชั่นแนล จำกัด มหาชน เปิดเผยว่า จะขยายตลาดออนไลน์มากขึ้น เนื่องจากพฤติกรรมของผู้บริโภคเปลี่ยนไปนิยมซื้อสินค้าผ่านออนไลน์ เพราะมีความสะดวกและรวดเร็ว โดยที่ผ่านมาร่วมมือกับลาซาด้า นำผลิตภัณฑ์บีเอสซีกว่า 500 รายการออกจำหน่ายแล้ว และทำให้ตลาดออนไลน์ในปี 60 ที่ผ่านมามียอดขายเพิ่มขึ้นถึง 5 เท่าตัว และปีนี้จะโต 100% และในอนาคตจะนำสินค้าเฉพาะเจาะจงกลุ่มลูกค้าเข้ามาทำตลาดเพิ่มขึ้น จากปัจจุบันมีเฉพาะกลุ่มเรื่องสำอางและดูแลผิวพรรณ ส่วนราคาจะถูกกว่าการขายเคาน์เตอร์เป็นผลจากต้นทุนต่ำกว่าสำหรับกรณีที่รัฐบาลปรับขึ้นค่าจ้างแรงงานขั้นต่ำนั้น จะส่งผลกระทบต่อผู้ประกอบการทำธุรกิจแตกต่างกัน แต่เชื่อว่าจะส่งผลดีต่อยอดขายสินค้าเพิ่มขึ้น จากกำลังซื้อที่สูงขึ้น ส่วนยอดขายสินค้าของบริษัทคาดว่าจะเติบโตเป็นตัวเลขหลักเดียว เนื่องจากการแข่งขันสูง โดยเฉพาะกลุ่มผู้ประกอบการที่เพิ่งเริ่มธุรกิจสตาร์ทอัพ เข้ามาทำตลาดสินค้ากันมากขึ้นดังนั้นต้องปรับตัวและจัดกิจกรรมส่งเสริมการขายต่อเนื่อง เพื่อดึงฐานลูกค้าใหม่เข้ามาใช้ผลิตภัณฑ์อย่างไรก็ตาม ที่ผ่านมาได้จัดแคมเปญ บีเอสซี อินเตอร์เนชั่นแนลครบรอบ 20 ปีโดยให้ลูกค้าใช้บัตร HIS&HER PLUS POINT เมื่อซื้อสินค้าแบรนด์บีเอสซี ลุ้นรางวัลกว่า 1 ล้านบาท ซึ่งทำให้ฐานลูกค้าใหม่เพิ่มขึ้น 20% และในไตรมาส 2 เตรียมจะออกแคมเปญเข้ามาทำตลาดเพิ่มขึ้น ขณะเดียวกันร่วมมือกับพันธมิตรขยายตลาดต่างประเทศต่อเนื่อง ทั้งมาเลเซีย สิงคโปร์ลาว เวียดนาม เมียนมา กัมพูชา ไต้หวันและจีน ส่วนยอดขายรวมมีมูลค่าประมาณ 2000 ล้านบาท                                                                  5'
5,'ตลาดหุ้นไทยวันนี้ 30 มค เคลื่อนไหวในแดนลบตลอดทั้งวัน ปรับลดลงตามตลาดหุ้นอื่นทั่วโลก โดยมีแรงขายในหุ้นกลุ่มใหญ่นำตลาด เช่น พลังงาน ปิโตรเคมี และธนาคารพาณิชย์ หลังจากราคาน้ำมันที่อ่อนตัวลง รวมถึงแรงกดดันจากต่างประเทศ อย่างสหรัฐที่มีการประกาศผลประกอบการบริษัทจดทะเบียนออกมาต่ำกว่าที่คาดการณ์ ส่งผลให้ปิดตลาดที่ 182661 จุด ลดลง 1088 จุด หรือ 059% ด้วยมูลค่าการซื้อขาย 6204791 ล้านบาทสำหรับหลักทรัพย์ที่มีมูลค่าซื้อขายสูงสุด 5 อันดับแรก1ปตทปิดที่ 49000 บาท ลดลง 800 บาท2บ้านปูปิดที่ 2250 บาท ไม่เปลี่ยนแปลง3เอโอทีปิดที่ 6975 บาท ลดลง 075 บาท4พีทีทีจีซีปิดที่ 9700 บาท ลดลง 050 บาท5ธกสิกรไทยปิดที่ 23400 บาท เพิ่มขึ้น 200 บาท                                                                  5'
6,'นายพบชัย ภัทราวิชญ์ ผู้จัดการสายงานวิจัย บลเอเชียพลัส เปิดเผยถึงภาวะตลาดหุ้นไทยปิดที่ระดับ 182661 จุดลดลง 1088 จุด หรือ 059 %โดยระหว่างวันเคลื่อนไหวสูงสุดที่ระดับ 183559 จุด และต่ำสุดที่ระดับ 182140 จุด ด้วยมูลค่าการซื้อขาย 6204791 ล้านบาทว่าตลาดหุ้นไทยเข้าสู่แดนลบเป็นไปตามตลาดหุ้นสหรัฐฯและตลาดหุ้นในภูมิภาคเอเชีย นอกจากนี้ตลาดมีความกังวลว่าธนาคารสหรัฐหรือเฟดจะขึ้นดอกเบี้ยมากกว่า 3 ครั้ง ขณะที่ราคาน้ำมันได้ปรับตัวลงทำให้มีแรงเทขายทำกำไรสำหรับหุ้นในกลุ่มพลังงานปิโตรเคมี โดยPTT ลง 8 บาท หรือ 16% PTTEP ลง 250 บาท หรือ 207% รวมถึงหุ้นกลุ่มอื่น ๆ เช่น SCB ลง 350 บาท หรือ22% AOT ลง 075 บาท หรือ 106%ทั้งนี้คาดว่าพรุ่งตลาดอาจรีบาวน์หรือฟื้นตัวขึ้นได้ เนื่องจากก่อนปิดตลาดวันนี้มีแรงซื้อหุ้นกลุ่มขนาดกลาง เข้ามาในช่วงท้ายตลาด โดยเฉพาะโรงพยาบาลและกลุ่มรับเหมาก่อสร้าง มองแนวรับที่ 1820 จุด แนวต้านที่ 1835 จุด หุ้นแนะนำ BCHBHSIRIKBANKTISCOKKP                                                                  5'
7,'นายณัฐพร จาตุศรีพิทักษ์ ที่ปรึกษารมตประจำสำนักนายกรัฐมนตรี เปิดเผยว่า ที่ประชุมครมเห็นชอบมาตรการเพื่อลดผลกระทบจากการปรับอัตราค่าจ้างขั้นต่ำในส่วนของผู้ประกอบการ 3 มาตรการ โดยเป็นมาตรการทางด้านภาษีของกระทรวงการคลัง มาตรการเพิ่มประสิทธิภาพการผลิตและบริการธุรกิจของผู้ประกอบการเอสเอ็มอีของกระทรวงอุตสาหกรรม และมาตรการช่วยเหลือผู้ประกอบการเพื่อลดผลกระทบด้านแรงงานของสำนักงานคณะกรรมการส่งเสริมการลงทุน บีโอไอ ซึ่งแต่ละมาตรการรัฐบาลได้ใช้เงินเข้าไปช่วยเหลือรวมกันประมาณ 10400ล้านบาท ทั้งการใช้งบประมาณเข้าสนับสุน และการยอมสูญเสียรายได้จากการจัดเก็บภาษีสำหรับมาตรการของกระทรวงการคลัง คือมาตรกาภาษี โดยให้นายจ้างที่ได้รับผลกระทบสามารถนำค่าใช้จ่ายที่เป็นค่าจ้างรายวันลูกจ้างมาลดหย่อนภาษีได้ 115 เท่า จากเดิมที่หักได้เพียง 1 เท่า คาดว่า มาตรการนี้จะทำให้ภาครัฐสูญเสียรายได้จากการจัดเก็บภาษีประมาณ 5400 ล้านบาทส่วนของกระทรวงอุตสาหกรรม เป็นมาตรการช่วยเหลือเอสเอ็มอี เน้นการฝึกอบรมเชิงปฏิบัติการ และให้คำปรึกษาเชิงลึกในการเพิ่มประสิทธิภาพการผลิต และการบริหารธุรกิจ รวมทั้งหาทางช่วยลดต้นทุนการผลิต ซึ่งรัฐได้ประมาณการค่าใช้จ่ายในการทำโครงการต่างๆ ประมาณ 5000 ล้านบาท โดยในปี 61 จะใช้เงิน 500 ล้านบาท ส่วนมาตรการสุดท้ายเป็นของบีโอไอ โดยปรับปรุงมาตรการปรับปรุงประสิทธิภาพการผลิตเพื่อปรับเปลี่ยนเครื่องจักร                                                                  5'
8,'นายณัฐพร จาตุศรีพิทักษ์ ที่ปรึกษารมตประจำสำนักนายกรัฐมนตรี เปิดเผยว่า ที่ประชุมครมเห็นชอบให้ยกเว้นภาษีเงินได้บุคคลธรรมดาให้กับนักลงทุนที่ลงทุนในวิสาหกิจเริ่มต้น สตาร์ทอัพ ที่ได้จ่ายเงินลงทุนในหุ้นเพื่อจัดตั้ง หรือเป็นเงินลงทุนในหุ้นเพิ่มทุนของบริษัทสตาร์ตอัพ โดยให้นำเงินลงทุนนั้นมาหักลดหย่อนในการคำนวณภาษีเงินได้ตามที่จ่ายจริงไม่เกิน 100000 บาท ซึ่งจะช่วยส่งเสริมให้เกิดการตั้งบริษัทสตาร์ทอัพในประเทศไทยเพิ่มขึ้น หลังจากที่ผ่านมารัฐบาลได้ให้สิทธิประโยชน์ในการจัดตั้งบริษัทไปแล้ว แต่ยังไม่ได้ครอบคลุมไปถึงการให้สิทธิประโยชน์ทางภาษีกับบุคคลธรรมดาที่เป็นนักลงทุนทั้งนี้ผู้ที่จะได้รับสิทธิดังกล่าว กระทรวงการคลังกำหนดว่า ต้องเป็นผู้ที่มีเงินได้ที่ถือหุ้นในบริษัทหรือห้างหุ้นส่วนนิติบุคคลที่เป็นสตาร์ทอัพ ไม่น้อยกว่า 2 ปี ต่อเนื่องกัน นับตั้งแต่วันที่ลงทุนในหุ้นนั้น ยกเว้นแต่กรรีที่เป้นทุพลภาพหรือตาย ซึ่งเงินที่ได้ลงทุนไปจำนวนไม่เกิน 100000 บาทนั้น จะเป็นเงินได้ที่ได้รับการยกเว้นไม่ต้องนำมาคำนวณเพื่อเสียภาษี เฉพาะที่จ่ายไปในระหว่างวันที่ 1 มค61  31 ธค62  5'
9,'เปิดตลาดหุ้นไทยภาคเช้าวันที่ 31 มค61 ดัชนีอยู่ที่ 182264 จุด ลดลง 397 จุด หรือ 022%ด้วยมูลค่าการซื้อขาย 381264 ล้านบาท ด้าน บลฟินันเซีย ไซรัส ตลาดหุ้นไทยยังอยู่ในช่วงพักฐานต่อเนื่องซึ่งเป็นสิ่งที่เราคาดว่าจะเกิดขึ้นเพราะดัชนีขึ้นมาค่อนข้างเร็ว บรรยากาศการลงทุนภาพรวมยังคงเป็นลบจากตลาดหุ้นสหรัฐฯที่ปรับลงแรง ขณะที่ราคาน้ำมันดิบปรับตัวลงต่ออีกกว่า 1% วานนี้ซึ่งทำให้หุ้นกลุ่มพลังงานยังคงถูกกดดัน ส่วนการประชุมคณะกรรมการนโยบายการเงินธนาคารกลางสหรัฐคืนนี้ ยังคงดอกเบี้ย แต่ต้องดูว่าจะส่งสัญญาณอะไรเพิ่มเติมหรือไม่                                                                  5'
