foreign,body_fore
0,'สำนักข่าวเอพีและรอยเตอร์รายงานจากเมืองซานดิฌอโก ประเทศสหรัฐอเมริกา เมื่อวันที่ 27 มค ว่า วิลา ลิงกอริลลาเพศเมีย ซึ่งมีอายุครบ 60 ปีเมื่อเดือน ตค ที่ผ่านมา ตายเมื่อวันพฤหัสบดี 25 มค ท่ามกลางวงล้อมของสมาชิกในครอบครัวของเธอ ภายในคอกเลี้ยงของสวนสัตว์ซาฟารีซานดิเอโก ในรัฐแคลิฟอร์เนีย วิลาซึ่งให้กำเนิดลูก 5 รุ่นตลอดอายุขัยของเธอ เป็นกอริลลาที่ราบต่ำทางตะวันตกของทวีปแอฟริกา เกิดที่ประเทศคองโกเมื่อปี พศ 2500 และถูกนำมาเลี้ยงที่สวนสัตว์ซานดิเอโกในปี 2502 ก่อนจะย้ายมาที่สวนสัตว์ซาฟารีในปี 2518 อย่างไรก็ตาม สวนสัตว์ไม่เปิดเผยสาเหตุการตายของเธอต่อสื่อมวลชน ตามปกติกอริลลาจะมีอายุยืนยาวโดยเฉลี่ยที่ประมาณ 30  40 ปี หากใช้ชีวิตอยู่ในป่าตามธรรมชาติ มันถูกจัดให้อยู่ในประเภทสัตว์ที่เสี่ยงต่อการสูญพันธุ์อย่างยิ่ง จากสาเหตุโรคภัยไข้เจ็บ การล่าของมนุษย์ สงครามและการสูญเสียถิ่นที่อยู่อาศัยจากการตัดไม้ทำลายป่า                                                                   5'
1,'สำนักข่าวเอเอฟพีรายงานจากกรุงแบกแดด ประเทศอิรัก เมื่อวันที่ 27 มค ว่า เจ้าหน้าที่ทางการอิรัก ซึ่งไม่ขอเปิดเผยนาม กล่าวว่า ชาวอิรัก 11 คน ประกอบด้วย เจ้าหน้าที่ข่าวกรองระดับสูง 1 คน ตำรวจ 9 คน และผู้หญิงอีก 1 คน เสียชีวิต และอีกประมาณ 20 คนบาดเจ็บ จากการโจมตีทางอากาศของเครื่องบินรบสหรัฐ ในเขตเมืองอัลบักห์ดาดี ในหุบเขายูเฟรตีส ทางภาคตะวันตก โดยจากการตรวจสอบเบื้องต้นดูเหมือนจะเป็นความเข้าใจผิด กลุ่มผู้เสียชีวิตกำลังเดินทางในขบวนรถยนต์ปิคอัพหลายคัน มุ่งหน้าไปสนับสนุนปฏิบัติการกวาดล้างนักรบกลุ่มไอเอสในพื้นที่ การโจมตีทำลายรถยนต์เกือบทุกคันในขบวน ผู้ได้รับบาดเจ็บรวมถึงหัวหน้าสถานีตำรวจเมืองอัลบักห์ดาดี ซึ่งอาการสาหัส ศูนย์บัญชาการปฏิบัติการร่วม เจโอซี ของอิรัก ซึ่งประสานงานปฏิบัติการโจมตีกลุ่มไอเอส กล่าวว่า ได้สั่งการหน่วยคอมมานโดบุกจู่โจมตรวจค้นสถานที่ต้องสงสัยเป็นที่หลบซ่อนของนักรบไอเอสในเมืองอัลบักห์ดาดี หลังได้รับข้อมูลเบาะแสข่าวกรองว่า จะมีการประชุมวางแผนของกลุ่มก่อการร้าย นำโดยนายคาริม อัลซามาร์มัด และได้มีการขอกำลังสนับสนุนทางอากาศ จากกองกำลังพันธมิตรนานาชาติ                                                                   5'
2,'สำนักข่าวเอเอฟพีรายงานจากกรุงเฮลซิงกิ ประเทศฟินแลนด์ เมื่อวันที่ 27 มค ว่า เนียนิสโตวัย 69 ปี ที่ดำเนินนโยบายถ่วงดุลความสัมพันธ์กับรัสเซียและสหรัฐอย่างชาญฉลาด ลงสมัครรับเลือกตั้งชิงตำแหน่งประธานาธิบดีฟินแลนด์ ในฐานะผู้สมัครอิสระ ทำให้เขาลอยตัวเหนือการเมืองระบบพรรค ซึ่งจะทำให้สามารถดำเนินนโยบายตามเป้าหมายได้สะดวก โดยเฉพาะการนำฟินแลนด์อยู่ภายใต้การคุ้มครองของระบบป้องกันขีปนาวุธของสหรัฐ โดยไม่สร้างความโกรธเคืองให้กับเพื่อนบ้านรัสเซีย ประเทศที่ฟินแลนด์มีเขตแดนร่วมความยาว 1340 กม โพลสำรวจความคิดเห็นของชาวฟินน์ล่าสุด พบว่า คะแนนนิยมต่อเนียนิสโตอยู่ที่ประมาณ 58  63 % ซึ่งแม้จะลดลงแต่ก็ทิ้งห่างคู่แข่งขันรายอื่นๆ อีก 7 คน โดยคู่แข่งรายสำคัญที่สุดคือ เปคกา ฮาวิสโต ของพรรคกรีน มีเสียงสนับสนุนอยู่ที่ 13  14 % หากเนียนิสโตชนะเลือกตั้งด้วยคะแนนเสียงมากกว่า 50 % ในการเลือกตั้งรอบแรกในวันอาทิตย์ จะเป็นครั้งแรกนับตั้งแต่ประเทศแห่งภูมิภาคนอร์ดิกเริ่มใช้ระบบการเลือกตั้งประธานาธิบดี 2 รอบในปี 2537 แต่หากไม่มีผู้สมัครรายใดได้คะแนนเกิน 50 % การเลือกตั้งรอบ 2 รอบชี้ขาดระหว่างผู้ที่ได้คะแนนอันดับ 1 และ 2 ในรอบแรก จะมีขึ้นในวันที่ 11 กพ ประธานาธิบดีฟินแลนด์เป็นประมุขของรัฐ และผู้บัญชาการทหารสูงสุดโดยตำแหน่ง รับผิดชอบร่วมกับรัฐบาลในนโยบายกลาโหมและต่างประเทศ ในระหว่างการดำรงตำแหน่งสมัยแรก เนียนิสโตปลูกความสัมพันธ์อย่างพิถีพิถันกับประธานาธิบดีวลาดิเมียร์ ปูติน ของรัสเซีย ที่เกิดความขัดแย้งรุนแรงกับกลุ่มประเทศตะวันตก นับตั้งแต่มอสโกผนวกดินแดนคาบสมุทรไครเมียของยูเครนในปี 2557 ขณะเดียวกัน เนียนิสโตก็กระชับความสัมพันธ์กับสหรัฐและองค์การนาโตไปด้วย เนียนิสโต คุณพ่อของลูกชาย 2 คน สูญเสียภรรยาคนแรกจากอุบัติเหตุรถยนต์ในปี 2538 เขารอดชีวิตหวุดหวิดจากเหตุการณ์คลื่นยักษ์สึนามิถล่มภาคใต้ของไทย เมื่อวันที่ 26 ธค 2547 ด้วยการปีนขึ้นต้นไม้กับลูกชายคนเล็ก ส่วนลูกชายคนโตหนีขึ้นหลังคาโรงแรมที่พัก เนียนิสโตพบรักใหม่กับสาวงามระดับเทพีที่หันมาเล่นการเมืองได้เป็น สส ทั้งสองหมั้่นหมายในปี 2546 แต่แยกทางกันในปีต่อมา และเนียนิสโตสมรสครั้งที่ 2 กับเจนนี เฮาคิโอ กวีสาวชาวฟินน์ ที่มีอายุน้อยกว่า 29 ปี ในปี 2552                                                                  5'
3,'สำนักข่าวรอยเตอร์รายงานจากกรุงปักกิ่ง ประเทศจีน เมื่อวันที่ 27 มค ว่า ในมณฑลหูเป่ย์ ทางภาคกลางฝั่งตะวันออก หลายช่วงของถนนไฮเวย์กว่า 30 สายถูกปิด เนื่องจากสภาพเป็นน้ำแข็ง สถานีรถไฟ 3 แห่งในเมืองอู่ฮั่น เมืองเอกของหูเป่ย์ ยกเลิกรถไฟโดยสารกว่า 100 เที่ยว และเมื่อเวลาประมาณเที่ยงวัน เที่ยวบินโดยสาร 95 เที่ยวถูกยกเลิก ที่ท่าอากาศยานนานาชาติอู่ฮั่น เทียนเหอ และผู้เดินทางตกค้างที่สนามบินประมาณ 1200 คน รายงานของสำนักข่าวซินหัว ระบุว่า สนามบินเมืองหนานหนิง เมืองเอกของเขตปกครองตนเองกว่างซีจ้วง ติดเขตแดนเวียดนาม ยกเลิกเที่ยวบินจำนวนมากเช่นกัน ส่วนที่เมืองฉางโจว ในมณฑลเจียงซู ทางภาคใต้ การแข่งขันฟุตบอลชิงแชมป์เอเชียรุ่นอายุไม่เกิน 23 ปี ระหว่างทีมชาติเวียดนามกับทีมชาติอุซเบกิสถาน ช่วงพักครึ่งต้องพักยาวประมาณ 1 ชั่วโมง เพื่อเคลียร์หิมะที่ตกลงมาอย่างหนักออกจากพื้นสนาม ศูนย์อุตุนิยมวิทยาแห่งชาติจีน เอ็นเอ็มซี ประกาศเตือนภัยพายุหิมะระดับสีส้มอีกครั้งในวันเสาร์ ในพื้นที่ภาคกลางและภาคตะวันออกของประเทศ สีส้มเป็นระดับสูงสุดอันดับ 2 ของระบบเตือนภัยภูมิอากาศ 4 ระดับ คาดว่าหิมะจะตกหนักในหลายพื้นที่ของมณฑลเหอหนาน หูเป่ย์ กุ้ยโจว และหูหนาน รวมทั้งพื้นที่ตามแนวชายฝั่งแม่น้ำแยงซี และแม่น้ำหวง และจะเกิดพายุหิมะในพื้นที่มณฑลอานฮุย เจียงซู เจ้อเจียง หูเป่ย์ และหูหนาน เมื่อวันศุกร์ สำนักงานบริหารมหาสมุทรแห่งรัฐ ออกประกาศเตือนภัยสีน้ำเงิน น้ำทะเลกลายเป็นน้ำแข็งในท่าเรือสำคัญหลายแห่ง ทางภาคเหนือของประเทศ ซึ่งอาจขัดขวางการเดินเรือขนส่งสินค้าภาพ  AFP XINHUAภาพประกอบ  South China Morning Post                                                                  5'
4,'สำนักข่าวต่างประเทศรายงานจากกรุงมะนิลา ประเทศฟิลิปปินส์ เมื่อวันที่ 27 มกราคม ว่า นายพอล อลานิส นักภูเขาไฟศาสตร์แห่งสถาบันภูเขาไฟและแผ่นดินไหวในฟิลิปปินส์ เปิดเผยว่า พายุฝนที่ตกลงมาอย่างหนัก อาจก่อให้เกิดภัยพิบัติครั้งที่สองของโคลนไหลจากภูเขาไฟ ขณะที่ ภูเขาไฟมายอนยังปะทุอย่างต่อเนื่องตลอดสองสัปดาห์ที่ผ่านมา โดยฝนเริ่มตกหนักในเมืองเลกัซพี ซึ่งเป็นที่ตั้งของภูเขาไฟมายอนเมื่อเช้าเสาร์ หากฝนยังคงตกหนักในระดับนี้ต่อไป มีความเป็นไปได้ว่า จะเกิดโคลนไหลลงมาจากภูเขาไฟนายอลานิส กล่าวต่อไปว่า ขณะนี้ ฝนตกหนักในเมืองเลกัซพีของจังหวัดอัลไบ และกระแสโคลนภูเขาไฟอาจสร้างความเสียหายอย่างรุนแรงในบริเวณที่โคลนไหลผ่าน ซึ่งเขาได้เตือนประชาชนที่อาศัยอยู่ใกล้ริมฝั่งแม่น้ำ ให้อพยพขึ้นไปอยู่บนที่สูง เพื่อป้องกันอันตรายนอกจากนั้น นายอลานิส บอกด้วยว่า ประชาชนที่อาศัยอยู่ใกล้แม่น้ำและลำธาร ถึงแม้พวกเขาอยู่ภายนอกเขตอันตรายจากภูเขาไฟ แต่พวกเขาจำเป็นต้องระมัดระวังตัวเป็นเป็นพิเศษ และตื่นตัวตลอดเวลา เพราะกระแสโคลนที่ไหลมาจากภูเขาไฟสามารถเกิดขึ้นอย่างรวดเร็วมากอย่างไรก็ตาม นับตั้งแต่ภูเขาไฟมายอนเริ่มปะทุเมื่อวันที่ 13 มกราคมที่ผ่านมา มีประชาชนกว่า 80000 คน อพยพไปอยู่ในพื้นที่ปลอดภัย เนื่องจากภูเขาไฟมายอนเกิดการปะทุวันละ 3 ถึง 6 ครั้ง และคาดว่า ภูเขาไฟมายอนจะปะทุอย่างต่อเนื่องไปอีก 3 เดือนข้างหน้า และมีความเป็นไปได้ที่ภูเขาไฟจะระเบิดอย่างรุนแรงนายอลานิส กล่าวทิ้งท้ายว่า จากการคาดการณ์จำนวนสสารที่ถูกพ่นออกมาจากภูเขาไฟ ทำให้สามารถประเมินได้ว่า ยังคงมีแม็กม่า หรือ หินหลอมละลายที่ร้อนมากใต้ผิวโลกอยู่ข้างใต้ภูเขาไฟอีกมากมาย ที่รอวันระเบิดออกมา และจากเครื่องวัด ทำให้พบว่า แม็กม่าจำนวนมากกำลังถูกดันให้ขึ้นสู่ปากปล่องภูเขาไฟอย่างต่อเนื่อง                                                                  5'
5,'สำนักข่าวเอเอฟพีรายงานจากเมืองโคโลญ ประเทศเยอรมนี เมื่อวันที่ 27 มค ว่า ตำรวจเยอรมันกล่าวว่า เจ้าหน้าที่ต้องสลายการเดินขบวนเนื่องจากมีการแสดงแผ่นป้ายตราสัญลักษณ์ของพรรคคนงานเคอร์ดิสถาน พีเคเค ซึ่งเป็นองค์กรต้องห้ามในเยอรมนี การเดินขบวนประท้วงครั้งนี้จัดโดย NAVDEM สมาคมชาวเคิร์ดที่มีความใกล้ชิดกับพีเคเค ที่รัฐบาลตุรกีและกลุ่มประเทศตะวันตกที่เป็นพันธมิตร ขึ้นบัญชีดำเป็นกลุ่มก่อการร้าย โฆษกสำนักงานตำรวจเมืองโคโลญ เผยว่า ผู้ประท้วงจำนวนมากถือแผ่นป้ายที่มีรูปภาพของนายอับดุลเลาะห์ โอคาลาน หัวหน้าใหญ่พีเคเค ที่ปัจจุบันถูกจำคุก ขังเดี่ยวอยู่ในเรือนจำบนเกาะอิมราลิ ในทะเลมาร์มาราของตุรกี และผู้ประท้วง 2 คนถูกจับกุม เนื่องจากไม่ยอมถอดหน้ากากที่ปกปิดใบหน้า การประท้วงมีขึ้น 1 สัปดาห์หลังจากกองกำลังปฏิบัติการพิเศษตุรกี และกลุ่มกบฏซีเรียที่เป็นพันธมิตร เปิดฮากโจมตีกลุ่มติดอาวุธชาวเคิร์ดที่ใช้ชื่อว่า หน่วยปกป้องประชาชน วายพีจี ในพื้นที่ทางตอนเหนือของซีเรีย เยอรมนีเป็นที่อยู่อาศัยของชาวเคิร์ดประมาณ 1 ล้านคน และกลุ่มคนเชื้อสายตุรกีประมาณ 3 ล้านคน และทางการเยอรมนีได้ประกาศเตือน อย่าให้เกิดความรุนแรงระหว่างประชาชน 2 กลุ่มนี้                                                                  5'
6,'สำนักข่าวรอยเตอร์และเอเอฟพีรายงานจากกรุงริยาด ประเทศซาอุดีอาระเบีย เมื่อวันที่ 27 มค ว่า เจ้าชายอัลวาลีด หนึ่งในนักธุรกิจระหว่างประเทศที่มีชื่อเสียงมากที่สุดของซาอุดีอาระเบีย ถูกปล่อยตัวจากที่คุมขัง และเดินทางกลับถึงวังที่ประทับ เมื่อเวลา 1100 น ของวันเสาร์ หลังจากอัยการสูงสุดอนุมัติ ข้อตกลง การปล่อยตัวในช่วงเช้า เจ้าชายอัลวาลีด นามฉายา วอร์เรน บัฟเฟตต์แห่งซาอุดีอาระเบีย เป็นหนึ่งในผู้ต้องสงสัยทุจริตประมาณ 350 คน ที่ถูกทางการซาอุฯ จับกุม ตั้งแต่วันที่ 4 พย ซึ่งรวมถึงมหาเศรษฐีและรัฐมนตรีหลายคน โดยทั้งหมดถูกควบคุมตัวไว้ที่โรงแรมหรูระดับ 5 ดาว ริทซ์คาร์ลตัน ในเมืองหลวงกรุงริยาด เจ้าหน้าที่ทางการซาอุฯ เผยก่อนหน้านี้ว่า ผู้ถูกคุมขังเกือบทั้งหมดที่ได้รับการปล่อยตัว บรรลุข้อตกลงกับรัฐบาลเพื่อแลกกับอิสรภาพ เงื่อนไขต่างๆ รวมถึงการคืนเงินให้รัฐบาลอย่างน้อยคนละ 1000 ล้านดอลลาร์สหรัฐ 31312 ล้านบาท ซึ่งรัฐบาลหวังว่าจะได้เงินกลับเข้าคลังจากผู้ต้องสงสัยทั้งหมด เพื่อนำไปพัฒนาประเทศ มากกว่า 100000 ล้านดอลลาร์ 3131200 ล้านบาท เจ้าชายอัลวาลีด ถูกกล่าวหาฟอกเงิน รับสินบน และรีดไถเจ้าหน้าที่ แต่พระองค์เผยต่อสำนีกข่วารอยเตอร์ ว่า พระองค์ยังคงยืนยันในความบริสุทธิ์ของตนเอง ในระหว่างการเจรจากับเจ้าหน้าที่ นิตยสารฟอรืบส์ของสหรัฐประเมินมูลทรัพย์สินสุทธิของเจ้าชายอัลวาลีด อยู่ที่ 17000 ล้านดอลลาร์สหรัฐ 532304 ล้านบาท การจับกุมและคุมขังเจ้าชายอัลวาลีด สร้างความวิตกแก่หุ้นส่วนธุรกิจในต่างแดนเป็นอย่างยิ่ง เนื่องจากพระองค์เป็นหนึ่งในนักลงทุนระหว่างประเทศคนสำคัญ มีหุ้นในบริษัทขนาดใหญ่ของชาติตะวันตก เช่นทวิตเตอร์และซิตีกรุ๊ป และโรงแรมระดับหรูหลายแห่ง เช่น โรงแรมจอร์จที่ 5 ในกรุงปารีส และโรงแรมพลาซ่าในนครนิวยอร์ก เป็นต้นคลิปประกอบ  Al Jazeera English                                                                  5'
7,'สำนักข่าวเอพีรายงานจากกรุงวอร์ซอ ประเทศโปแลนด์ เมื่อวันที่ 27 มค ว่า นายเร็กซ์ ทิลเลอร์สัน รัฐมนตรีต่างประเทศสหรัฐ และนายจาเซค ซาปูโตวิช รัฐมนตรีต่างประเทศโปแลนด์ ประกาศระหว่างการแถลงข่าวร่วม หลังการพบหารือที่กรุงวอร์ซอ เมื่อวันเสาร์ ว่า แนวท่อส่งก๊าซ นอร์ดสตรีม 2 ซึ่งจะเลี่ยงผ่านโปแลนด์ จะทำให้ยุโรปตอนกลางตกอยุ่ใต้แรงกดดันของรัสเซีย โดยทิลเลอร์สันกล่าวว่า ท่อส่งก๊าซเส้นทางนี้ ไม่ใช่ระบบสาธารณูปโภคที่เหมาะสม สำหรับความมั่นคงทางพลังงานของยุโรป ทิลเลอร์สัน กล่าวว่า สหรัฐและโปแลนด์มองนอร์ดสตรีม 2 เป็นตัวบ่อนทำลายเสถียรภาพและความมั่นคงทางด้านพลังงานทั้งหมดของยุโรป และจะทำให้รัสเว๊ยใช้เป็นเครื่องมือทางการเมือง นอร์ดสตรีม 2 จะเป็นแนวท่อส่งก๊าซแนวที่ 2 ที่นำก๊าซจากรัสเซียส่งตรงสู่เยอรมนีและยุโรปตะวันตก โดยผ่านทะเลบอลติก แทนที่จะผ่านโปแลนด์และยูเครน สหรัฐพยายามมานานหลายปี เพื่อให้กลุ่มพันธมิตรในยุโรปเลิกพึ่งพาก๊าซธรรมชาติของรัสเซีย โดยมอสโกถูกกล่าวหาว่าใช้ก๊าซเป็นเครื่องมือกดดันฝ่ายตรงข้าม ในกรณีพิพาทกับยูเครนและประเทศอื่นๆ โปแลนด์เริ่มนำเข้าก๊าซธรรมชาติเหลว แอลเอ็นจี จากสหรัฐในปีนี้ ทิลเลอร์สันกระตุ้นให้มีการซื้อขายมากขึ้น และสนับสนุนการสร้างท่อส่งก๊าซจากโปแลนด์ไปยังนอร์เวย์ นอกเหนือจากประเด็นความมั่นคงด้านพลังงาน ทิลเลอร์สันและซาปูโตวิชยังให้คำมั่นเพิ่มความร่วมมทอทางทหารระหว่าง 2 ประเทศ ซาปูโตวิชกล่าวว่า โปแลนด์ต้องการเห็นสหรัฐเสริมกำลังทางทหารในโปแลนด์มากขึ้น ความสัมพันธ์ด้านความมั่นคง โปแลนด์สหรัฐ ดีขึ้นเมื่อปีที่แล้ว เมื่อสหรัฐส่งทหาร 5000 นายไปยังโปแลนด์ เพื่อเข้าร่วมกองกำลังสหรัฐ และกองกำลังองค์การนาโต การเคลื่อนย้ายกำลังดังกล่าวมีเป้าหมายเพื่อสร้างความมั่นใจแก่พันธมิตรของนาโตในยุโรปตะวันออก ที่กำลังเผชิญกับภัยคุกคามจากรัสเซีย ภาพ  AFPแผนที่  Wikimedia Commonsคลิปประกอบ  Globe Backyard TV                                                                  5'
8,'สำนักข่าวต่างประเทศรายงานจากกรุงเทลอาวีฟ ประเทศอิสราเอล เมื่อวันที่ 28 มคว่านายรัฐมนตรีเบนจามิน เนทันยาฮู กล่าวเมื่อวันเสาร์ ว่าการที่โปแลนด์ออกกฎหมาย ห้ามการระบุว่าประเทศของตัวเองมีส่วนเกี่ยวข้องกับอาชญากรรมสงครามและอาชญากรรมต่อมนุษยชาติ ที่เกิดขึ้นกับชาวยิวภายในค่ายกักกันนาซีซึ่งตั้งอยู่ในโปแลนด์นั้น เป็นกฎหมายที่ ไม่ได้ตั้งอยู่บนพื้นฐานของความเป็นจริง เพราะ ประวัติศาสตร์เป็นเรื่องราวที่เปลี่ยนแปลงไม่ได้ และ ไม่อาจปฏิเสธได้ ขณะที่กระทรวงการต่างประเทศอิสราเอลเชิญอุปทูตโปแลนด์เข้าพบเพื่อ ปรึกษาหารือ สถานการณ์ที่เกิดขึ้นแล้วPM Netanyahu on the draft law in PolandThe law is baseless I strongly oppose it One cannot change history and the Holocaust cannot be denied Ive instructed the Israeli Ambassor to Poland to meet the Polish PM this evening and express my strong position against the law— PM of Israel @IsraeliPM January 27 2018นายมาเตอุซ โมราวีกกี นายกรัฐมนตรีโปแลนด์Auschwitz is the most bitter lesson on how evil ideologies can le to hell on earth Jews Poles and all victims should be guardians of the memory of all who were murdered by German NazisAuschwitzBirkenau is not a Polish name and Arbeit Macht Frei is not a Polish phrase— Mateusz Morawiecki @MorawieckiM January 27 2018อย่างไรก็ตาม นายกรัฐมนตรี มาเตอุซ โมราวีกกี ผู้นำโปแลนด์ กล่าวตอบโต้ถ้อยแถลงของผู้นำอิสราเอล ว่า เอาชวิตซ์เบียร์เคอเนา  AuschwitzBirkenau  และ อาร์ไบต์ มัคต์ ไฟร  Arbeit Macht Frei  ไม่ใช่ภาษาโปแลนด์ ทั้งนี้ เอาชวิตซ์เบียร์เคอเนา เป็นชื่อของค่ายกักกันชาวยิวขนาดใหญ่ที่สุด ในบรรดาค่ายกักกันที่กองทัพนาซีสร้างขึ้น ตั้งอยู่ทางตอนใต้ของโปแลนด์ ส่วนอาร์ไบต์ มัคต์ ไฟร ที่หมายความว่า การทำงานนำมาซึ่งอิสรภาพ เป็นประโยคที่ติดอยู่บริเวณประตูทางเข้าสู่ค่ายกักกันด้านนายแพทริก จากี รมชกระทรวงยุติธรรมของโปแลนด์ กล่าวว่ากฎหมายดังกล่าวเป็นความพยายามของรัฐบาลชุดปัจจุบัน ในการชี้แจง ความจริง ให้ประชาคมโลกได้รับทราบ ว่าโปแลนด์ไม่ได้ร่วมมือกับกองทัพนาซีในเรื่องนี้ และไม่เคย ยอมจำนน ต่ออีกฝ่าย นอกจากนี้ ไม่มีเนื้อหาตอนใดเป็นการโจมตีอิสราเอล แต่รัฐบาลและสื่อมวลชนของอิสราเอลกลับเป็นฝ่ายเสนอเรื่องราวโจมตีโปแลนด์After World War II 90% of the Holocaust survivors were between 16 and 45 years old Today the youngest survivors who were born in the last phase of the war are over age 70 httpstcoMHtrzxS28i pictwittercomiOv6LyVUfM— UN News @UN_News_Centre January 25 2018อนึ่ง กรณีพิพาทในเรื่องนี้ระหว่างอิสราเอลกับโปแลนด์เกิดขึ้นในวันที่สหประชาชาติ  ยูเอ็น  กำหนดให้เป็น วันระลึกถึงการฆ่าล้างเผ่าพันธุ์ชาวยิวสากล ตรงกับวันที่ 27 มคของทุกปี                                                                  5'
9,'สำนักข่าวต่างประเทศรายงานจากกรุงเตกูซิกัลปา ประเทศฮอนดูรัส เมื่อวันที่ 27 มคว่าประธานาธิบดีฮวน ออร์ลันโด เฟอร์นันเดซ สาบานตนรับตำแหน่งผู้นำฮอนดูรัสเป็นสมัยที่ 2 ติดต่อกัน เมื่อวันเสาร์ที่ผ่านมา โดยพิธีจัดขึ้นที่สนามกีฬากลางในกรุงเตกูซิกัลปา ซึ่งเฮอร์นันเดซ วัย 49 ปี กล่าวเรียกร้องความสมานฉันท์ระหว่างชาวฮอนดูรัส และยืนยันว่าจะยึดมั่นตามกระบวนการเจรจาอย่างสันติตามกรอบของรัฐธรรมนูญ เพื่อมุ่งสู่ความประนีประนอมHow did Honduras get here Many people blame fraudulent elections and USbacked President Juan Orlando Hern?ndez pictwittercomH8KML7awqM— AJ+ @ajplus January 22 2018ประธานาธิบดีฮวน ออร์ลันโด เฟอร์นันเดซ และนางอานา การ์เซีย ภริยาอย่างไรก็ตาม พิธีสาบานตนของผู้นำฮอนดูรัสเกิดขึ้นท่ามกลางการประท้วงอย่างหนักหน่วงที่อยู่รอบนอกของสนามกีฬา ทั้งนี้ เฮอร์นันเดซซึ่งมาจากพรรคการเมืองสายกลางขวา ที่ได้รับการสนับสนุนจากสหรัฐ มีคะแนนตามคู่แข่งจากพรรคกลางซ้าย คือนายซัลวาดอร์ นาสรัลลา ในช่วงแรกของการนับคะแนนเลือกตั้งเมื่อวันที่ 26 พยปีที่แล้ว แต่หลังจากนั้นกลับเกิด ความไม่ชอบมาพากล หลายอย่างกับกระบวนการนับคะแนนเลือกตั้ง จนเกิดการประท้วงต่อต้านทั่วประเทศ และมีผู้เสียชีวิตมากกว่า 30 คน แต่คณะกรรมการการเลือกตั้งประกาศเมื่อกลางเดือนธคที่ผ่านมา ให้เฮอร์นันเดซเป็นฝ่ายชนะนาสรัลลา ด้วยคะแนนเสียงสนับสนุน 429% ต่อ 414%ทั้งนี้ องค์การนานารัฐอเมริกัน  โอเอเอส  ซึ่งเป็นองค์กรกลางทางการเมืองของกลุ่มประเทศในลาตินอเมริกา ยังไม่ประกาศยอมรับผลการเลือกตั้งอย่างเป็นทางการ และเรียกร้องให้มีการจัดการลงคะแนนใหม่ เนื่องจากรัฐธรรมนูญของฮอนดูรัสฉบับปี 2525 ห้ามการให้ประธานาธิบดีดำรงตำแหน่งสองสมัยติดต่อกัน แต่เฮอร์นันเดซชนะการยื่นคำร้องต่อศาลฎีกาเมื่อปี 2558 ซึ่งอนุญาตให้เขาลงสมัครได้ และ สร้างประวัติศาสตร์ เป็นผู้นำฮอนดูรัสคนแรกที่ชนะการเลือกตั้งติดต่อกัน 2 สมัย ขณะที่กระทรวงการต่างประเทศสหรัฐเป็นประเทศแรกที่ยอมรับผลการเลือกตั้งประธานาธิบดีฮอนดูรัสครั้งนี้ และตามด้วยเม็กซิโก                                                                  5'
