sports,body_spo
0,'เมาริซิโอ โปเชตติโน ผู้จัดการทีม ทอตแนม ฮอตสเปอร์ ทีมดังในศึกพรีเมียร์ลีก อังกฤษ ออกมาแสดงความเชื่อมั่นว่า เอริค ลาเมลา มิดฟิลด์ของทีม น่าจะยังเล่นได้ดีกว่านี้อีกในอนาคต แม้ที่ผ่านมาเจ้าตัวจะเจอปัญหาเรื่องอาการบาดเจ็บรุมเร้ามาอย่างยาวนานก็ตาม หลังดาวเตะชาวอาร์เจนตินา โชว์ฟอร์มเยี่ยม ยิง 1 ประตูช่วยให้ ไก่เดือยทอง เปิดรังทุบ นิวพอร์ต ทีมจาก ลีก ทู 20 ในเกม เอฟเอ คัพ รอบ 4 นัดแข่งใหม่ เมื่อวันพุธที่ผ่านมา พอช พูดถึงลูกทีมจากชาติเดียวกันว่า เขารักฟุตบอล เขารักการลงซ้อม ในช่วงเวลาแย่ ๆ นั้น มันจะทำให้คุณได้เรียนรู้อะไรหลาย ๆ อย่าง เขาน่าจะเล่นได้ดีกว่าที่เคยทำได้ เพราะตอนนี้เขามีประสบการณ์มากขึ้นแล้ว สิ่งที่สำคัญเสมอสำหรับนักเตะในเกมรุก คือการที่พวกเขาต้องกระหายที่จะยิงประตู และสิ่งที่สำคัญสำหรับเขาคือการได้ลงเล่นครบ 90 นาทีในเกมนี้ ผมเชื่อว่ามันจะเป็นความรู้สึกที่สำคัญมาก ๆ สำหรับเขา และเขาก็เป็นนักเตะคนสำคัญของทีมด้วย                                                                   5'
1,'เลอ10 สปอร์ต สื่อดังในประเทศฝรั่งเศส รายงานว่า หลุยส์ เอ็นริเก อดีตกุนซือ บาร์เซโลนา ยักษ์ใหญ่แห่งศึกลา ลีกา สเปน เตรียมแผนดึงตัวง หลุยส์ ซัวเรซ มาค้าแข้งกับ เชลซี ว่าที่ต้นสังกัดใหม่ของเจ้าตัวในศึกพรีเมียร์ลีก อังกฤษ ในฤดูกาลหน้า หลังมีข่าวว่าอดีตกุนซือ บาร์ซา ตกลงด้วยวาจากับ สิงห์สำอาง ว่าจะย้ายมาคุมทีมในถิ่นสแตมฟอร์ด บริดจ์ แทนที่ อันโตนิโอ คอนเต ในซีซั่นหน้าเรียบร้อยแล้ว ก่อนหน้านี้ มีรายงานจาก เดลี เทเลกราฟ สื่อดังในประเทศอังกฤษว่า เอ็นริเก พูดคุยและตกลงเรื่องรายละเอียดสัญญาส่วนตัวกับ สิงห์สำอาง ได้เรียบร้อยแล้ว และเตรียมเข้ามานั่งเก้าอี้นายใหญ่แห่งถิ่น สแตมฟอร์ด บริดจ์ ในซีซั่นหน้า ขณะที่ เลอ10 สปอร์ต ระบุว่า นักเตะคนแรกที่เจ้าตัวต้องการดึงมาเสริมทัพหลังย้ายมาคุม เชลซี คือ ซัวเรซ หลังจากทั้งคู่เคยร่วมงานกันในถิ่น คัมป์ นู ในฤดูกาล 201415 ซึ่งทั้งคู่ช่วยให้ บาร์ซา คว้าทริปเปิ้ลแชมป์ทั้ง ลา ลีกา ยูฟ่า แชมเปี้ยนส์ ลีก และ โกปา เดล เรย์ มาครองได้อย่างยิ่งใหญ่                                                                  5'
2,'เนลสัน โบนีญา กองหน้าคนใหม่ชาวเอลซัลวาดอร์ ของ ค้างคาวไฟ สุโขทัย เอฟซี ทีมไทยลีก กล่าวว่า รู้สึกดีใจที่ได้มาเล่นฟุตบอลในไทย กับ สุโขทัย ส่วนเรื่องความกดดันนั้น ไม่ได้กลัวอะไร เพราะจะเล่นให้สนุก เล่นให้มีความสุข เข้าใจดีว่า แฟนบอลคาดหวังให้ตนยิงประตูเยอะๆ แต่สไตล์ของตนเองคือทำทุกอย่างเต็มที่เพื่อทีม ไม่ได้ตั้งเป้าว่าจะต้องยิงได้กี่ประตู หากใครมีโอกาสหรืออยู่ในตำแหน่งที่ทำประตูได้ดีกว่าก็จะส่งให้ ขณะที่การปรับตัวกับเมืองไทยก็ไม่มีปัญหา ที่เอลซัลวาดอร์ร้อนกว่านี้ ขณะที่อาหารการกินก็เผ็ดเหมือนกัน                                                                  5'
3,'ศึกบาสเกตบอล เอ็นบีเอ สหรัฐ ช่วงฤดูกาลปกติ เมื่อวันพุธที่ 7 กพ ที่ผ่านมา หรือตรงกับช่วงเช้าวันพฤหัสบดีตามเวลาประเทศไทย คลีฟแลนด์ คาวาเลียร์ส ได้ เลบรอน เจมส์ ซูเปอร์สตาร์ประจำทีม ชู้ตลงห่วงในขณะที่เหลือ 13 วินาทีสุดท้ายของช่วงต่อเวลา ช่วยให้ทีมเปิดรัง ควิกเคน โลนส์ อารีนา เฉือนชนะ มินนิโซตา ทิมเบอร์วูล์ฟส์ 140138 คะแนน โดยรวมแล้วเกมนี้ คิงเจมส์ ทำทริปเปิ้ลดับเบิ้ล 37 แต้ม 15 แอสซิสต์ 10 รีบาวด์ ช่วยให้ แคฟส์ เพิ่มสถิติเป็นชนะ 31 แพ้ 22 นำจ่าฝูงของกลุ่มเซ็นทรัล ดิวิชั่น และเป็นอันดับ 3 ของสายตะวันออก ส่วน ทีวูล์ฟส์ ชนะ 34 แพ้ 23 นำจ่าฝูงกลุ่มนอร์ธเวสต์ ดิวิชั่น และเป็นอันดับ 4 ของสายตะวันตก ผลคู่อื่น ชื่อหลังเป็นเจ้าบ้าน บรูคลิน เน็ตส์ แพ้ ดีทรอยต์ พิสตันส์ 106115 ฮูสตัน ร็อคเก็ตส์ ชนะ ไมอามี ฮีต 109101 ยูทาห์ แจซซ์ ชนะ เมมฟิส กริซซ์ลีส์ 9288 ซาน อันโตนิโอ สเปอร์ส ชนะ ฟีนิกซ์ ซันส์ 12981                                                                   5'
4,'โรนัลโด ตำนานกองหน้าทีมชาติบราซิล ออกมายุให้ รีล มาดริด ยักษ์ใหญ่แห่งศึก ลา ลีกา สเปน อดีตต้นสังกัดของตัวเอง คว้าตัว เนย์มาร์ ดาวเตะซูเปอร์สตาร์ของ ปารีส แซงต์ แชร์กแมง รุ่นน้องในทีมชาติบราซิลมาร่วมทีมให้ได้ เนื่องจาก ราชันชุดขาว จำเป็นต้องมีนักเตะที่ดีที่สุดในโลกอยู่ในทีม ซึ่งดาวยิง เปแอสเช ซึ่งตกเป็นข่าวลือเรื่องการย้ายมาค้าแข้งในถิ่น ซานติอาโก เบร์นาเบว มาตลอดในช่วงหลังนั้น คือหนึ่งในจำนวนนั้น ตำนานหัวหอกเจ้าของฉายา โล้นทองคำ กล่าวว่า เนย์มาร์ คือนักเตะที่สุดยอดมาก ๆ บางทีในอีกไม่กี่ปีข้างหน้า เขาอาจจะกลายเป็นนักเตะที่ดีที่สุดในโลก และ รีล มาดริด ก็จำเป็นตจ้องมีนักเตะที่ดีที่สุดในโลกอยู่ในทีม แต่ตอนนี้ ผมยังไม่เคยได้ยินว่ามีตัวแทนอย่างเป็นทางการของ รีล มาดริด พูดถึง เนย์มาร์ แต่อย่างใด                                                                  5'
5,'ปาทริซ เอฟรา แบ๊กซ้ายตัวเก๋าชาวฝรั่งเศส ออกมาระบุว่าเขารู้สึกว่าตัวเองโชคดี ที่ได้เซ็นสัญญาค้าแข้งกับ เวสต์แฮม ยูไนเต็ด ทีมดังในศึกพรีเมียร์ลีก อังกฤษ ด้วยสัญญาระยะสั้นจนถึงช่วงจบฤดูกาลนี้ หลังเจ้าตัวกลายเป็นนักเตะไม่มีสังกัดหลังแยกทางกับ โอลิมปิก มาร์กเซย ตั้งแต่เดือนพฤศจิกายนปีที่แล้ว หลังก่อเหตุเตะศีรษะแฟนบอลก่อนหน้าเกม ยูโรปา ลีก นัดที่พบกับ วิตอเรีย กิมาไรส์ เมื่อฤดูกาลที่แล้ว จนถูกแบนยาวห้ามลงเล่นเกมถ้วยยุโรปถึง 7 เดือน แบ๊กซ้ายคนใหม่ของ ขุนค้อน กล่าวว่า มันมหัศจรรย์มากที่ได้กลับมาเล่นที่อังกฤษอีกครั้ง ผมต้องขอบคุณ เวสต์แฮม ที่ให้โอกาสผมได้ทำงานของผม ผมเองก็นึกไม่ถึงว่าตัวเองจะโชคดีขนาดนี้ แค่ได้ตื่นมาตอนเช้าและได้ลงซ้อมกับเพื่อร่วมทีมใหม่ มันก็ทำให้ผมยิ้มได้แล้ว เมื่อถึงเวลาที่คุณต้องเซ็นสัญญาโดยที่เรื่องเงินไม่ใช่เรื่องใหญ่ การเจรจามันก็อาจจบลงง่าย ๆ ภายใน 5 นาที และนี่ก็เป็นการเจรจาสัญญาที่เร็วที่สุดในชีวิตผมเลยทีเดียว                                                                  5'
6,'ความเคลื่อนไหวศึกมวยป้องกันตำแหน่งแชมป์โลก WBA รุ่นมินิมั่มเวต 105 ปอนด์ ของแชมป์โลกชาวไทย น็อคเอาท์ ซีพีเฟรชมาร์ท โดยจะป้องกันแชมป์ครั้งที่ 6 พบกับ โตโต้ แลนเดอโร่ รองแชมป์โลกอันดับ 12 ชาวฟิลิปินส์ ในศึกมวยซีพีเอฟเขย่าบัลลังก์โลก วันอังคารที่ 6 มีคนี้ ที่เวทีมวยชั่วคราวลานหน้าศาลากลาง จชลบุรี ช่อง 7 ถ่ายทอดสด เวลา 13451600 น ซึ่งในรายการนี้ ขุนพลสังกัด เพชรยินดีบ็อกซิ่งโปรโมชั่น ที่จ่อชิงแชมป์โลก ร่วมชกกันถ้วนหน้า เสี่ยตังค์ ปิยะรัตน์ วชิรรัตนวงศ์ โปรโมเตอร์ผู้จัดการแข่งขัน เผยว่า ยอดมงคล กับ เพชร ซีเฟรชมาร์ท ที่จ่อจะขึ้นชิงแชมป์โลกนั้น โดย ยอดมงคล ต้องรอผลการชกชิงแชมป์ว่าง WBA 112 ปอนด์ ระหว่าง อาเต็ม ดาลาเคี่ยน ยูเครน กับ ไบรอัน วิโลเรีย สหรัฐอเมริกา วันที่ 24 กพนี้ หากสมาคมมวยโลกทำตามที่รับปากไว้ ยอดมงคล จะได้ชิงแชมป์ทันที ส่วน เพชร ก็ต้องรอให้ หลุยส์ เนรี่ แชมป์ WBC 118 ปอนด์ ชาวเม็กซิโก ชกกับ ชินสึเกะ ยามานากะ ในวันที่ 1 มีคนี้ก่อน หาก เนรี่ ชนะป้องกันแชมป์ได้ เพชร ก็อาจจะได้ชิงทันที ทว่า ยามานากะ เป็นผู้ชนะ เพชร ก็จะต้องชกตัดเชือกกับ เอ็มมานูเอล โรดิเกวส ชาวเปอร์โตริโก้ ซึ่งตนได้พูดคุยและเจรจาการชกตัดเชือกเรียบร้อยแล้ว สำหรับคู่มวยในรายการที่น่าสนใจ มีดังนี้ ยอดมงคล ซีพีเฟชมารท อุ่นหมัด 8 ยกกับ ทอมมี่ ซีรัน อินโดนีเซีย เพชร ซีพีเฟรชมาร์ท อุ่นหมัด 8 ยกกับ ริโอ นาอิงโกรัน อินโดนีเซีย โอเล่ห์ดง ซีพีเฟรชมาร์ท อุ่นหมัด 8 ยกกับ นิคกี้ จอร์แดน อินโดนีเซีย และ ก้องฟ้า ซีพีเฟรชมาร์ท อุ่นเครื่อง 8 ยกกับ ยอดนักรบ มวัฒนชัย                                                                  5'
7,'เฮียฮ้อ สุรชัย เชษฐโชติศักดิ์ ผู้บริหารช่อง 8 เปิดเผยว่า ช่อง 8 เตรียมถ่ายทอดสด รายการมวยกรงแปดเหลี่ยม หรือ UFC ซึ่งกำลังได้รับความนิยมอย่างต่อเนื่อง สำหรับผู้ชมชาวไทย และ UFC เป็นองค์กรที่เติบโตเร็วที่สุดในประวัติศาสตร์ เดินทางไปจัดการแข่งขันกว่า 20 ประเทศทั่วโลก ถือเป็นอีกลิขสิทธิรายการกีฬาระดับโลกที่ช่อง 8 ต้องการนำมาให้คนไทยได้ดูสำหรับศึกมวยกรงครั้งนี้ช่อง 8 ถ่ายทอดสด เป็นศึก UFC 221 จัดที่เมืองเพิร์ธ ประเทศออสเตรเลีย วันอาทิตย์ที่ 11 กพนี้ เริ่มเวลา 1000 น ซึ่งในยุโรป สหรัฐฯ และอีกหลายประเทศทั่วโลกต้องเสียเงินค่าดู แต่ช่อง 8 นำมาให้คนไทยได้ชมกันแบบฟรี ๆ โดยคู่เอก เป็นการชิงแชมป์โลกเฉพาะกาล รุ่นมิดเดิลเวต ระหว่าง ลุค ร็อคโฮลด์ อดีตแชมป์โลกชาวอเมริกัน พบกับ โยเอล โรเมโร่ อดีตนักมวยปล้ำโอลิมปิก และแชมป์โลกมวยปล้ำหลายสมัย ชาวคิวบา ซึ่งเป็นศึกที่แฟน ๆ ทั่วโลกรอชมส่วนผลงาน ร็อคโฮลด์ สถิติชนะ 16 แพ้ 3 ไฟต์ มีดีกรียูยิตสูสายดำ เก่งการซับมิสชั่น โดยทำให้คู่ต่อสู้ยอมแพ้ถึง 10 ไฟต์ ขณะที่ โรเมโร่ สถิติชนะ 12 แพ้ 2 ไฟต์ เก่งมวยปล้ำ ดีกรีระดับแชมป์โลก และยังมีหมัดที่หนักหน่วงอันตราย น็อกคู่ต่อสู้มาแล้ว 10 ไฟต์ จัดเป็นศึกที่สูสีอย่างมาก และมีโอกาสจบได้ทุกรูปแบบนอกจากนี้ยังมีคู่เอกร่วม ศึกรุ่นยักษ์เฮฟวี่เวต การดวลกันระหว่างจอมน็อคเอาท์ต่างวัย มาร์ก ฮันต์ เจ้าหมัดโป้งปิดบัญชี ชาวนิวซีแลนด์ ดวลพลังหมัดกับ เคอร์ติส เบลย์เดส ดาวรุ่งหมัดหนักชาวอเมริกัน อาวุธรุนแรงทั้งคู่ โดยมีโอกาสจบแบบไม่ครบยกสูงมาก ขณะที่คู่ประกอบรายการสุดมันส์เพียบ อาทิ ไท ทุยวาซ่า ชาวออสเตรเลีย พบกับ ไซริล อัสเคอร์ จากฝรั่งเศส และศึกรุ่นเวลเตอร์เวต เจค แมทธิวส์ นักสู้เจ้าถิ่น พบกับ ลี เจี้ยงเหลียง ชาวจีน                                                                  5'
8,'เมื่อวันที่ 8 กพ นสกิตติมา รัตนแสงเสถียร ผู้ช่วยผู้อำนวยการฝ่ายการตลาด บริษัท ทรูวิชั่นส์ กรุ๊ป จำกัด และ นายจุลทัย ศาลิคุปต์ ผู้อำนวยการฝ่ายรายการกีฬา บริษัท ทรูวิชั่นส์ กรุ๊ป จำกัด ร่วมกันแถลงความพร้อมของ ทรูวิชั่นส์ ในการถ่ายทอดสดฟุตบอล ประจำฤดูกาล 2018 ที่ร้านอาหารทีเฮาส์ ถนนพระราม 6 โดย นายจุลทัย ศาลิคุปต์ กล่าวว่า ฟุตบอล โตโยต้า ไทยลีก 2018 ที่จะเปิดฤดูกาลในวันที่ 9 กพนี้ ทรูวิชั่นส์ ในฐานะผู้ที่ได้รับลิขสิทธิ์ในการถ่ายทอดสด จะถ่ายทอดสดครบทั้ง 306 นัด ตลอดฤดูกาล สัปดาห์ละ 9 คู่ ประเดิมด้วยเกมเปิดสนามของแชมป์เก่า 5 สมัย ปราสาทสายฟ้า บุรีรัมย์ ยูไนเต็ด ที่จะพบกับ ราชันมังกร ราชบุรี มิตรผล เอฟซี ถ่ายทอดสดทางทรูสปอร์ต 2 682 และ ทรูสปอร์ตเอชดี 2 667 วันที่ 9 กพ เวลา 1900 นนอกจากนี้ ทรูวิชั่นส์ จะได้รับลิขสิทธิ์การถ่ายทอดสดฟุตบอลเจลีก ญี่ปุ่น ซึ่งปีนี้มี 3 นักเตะไทยไปค้าแข้งในเจลีก ซึ่งทรูวิชั่นส์ จะพยายามดึงเกมที่ทั้ง 3 คน ลงเล่นมาถ่ายทอดสดให้ได้มากที่สุด เพียงแต่ว่าอาจจะไม่ได้ครบทุกคู่ เนื่องจากทางญี่ปุ่นจะส่งสัญญาณการถ่ายทอดสดมาเพียง 3 คู่ต่อสัปดาห์เท่านั้น แต่มั่นใจได้ว่าในแต่ละสัปดาห์จะได้ดูนักเตะไทยแน่นอน รวมไปถึง ตอง กวินทร์ ธรรมสัจจานันท์ ที่ย้ายไปอยู่กับ โอเอช ลูเวิน ทีมในพร็อกซิมุส ลีก เบลเยียม เราก็จะมีการถ่ายทอดสดทุกนัดที่ โฮเอช ลูเวิน ลงแข่งขัน เช่นกัน ที่ช่องทรูสปอร์ตเอชดี 2ทางด้าน นสกิตติมา กล่าวว่า ในวันที่ 24 กพ ซึ่งเป็นเกมเปิดสนามฟุตบอล เจลีก ญี่ปุ่น โดยเป็นการพบกันของสองทีมทีทมีสองนักเตะไทยคว้าแข้ง คือ มุ้ย ธีรศิลป์ แดงดา ของซานเฟรซเช ฮิโรชิมา จะเปิดรังอิดิออน สเตเดี้ยม รับการมาเยือนของ คอนซาโดเล ซัปโปโร ที่มี เจ ชนาธิป สรงกระสินธ์ ร่วมทีม ทางเจลีก ได้ร่วมมือกับพันธมิตร และทรูวิชั่นส์ จัดกิจกรรมที่ลานสยามสแควร์วัน เพื่อให้แฟนบอลชาวไทยได้มาเชียร์สองนักเตะของไทยกันอย่างเต็มที่                                                                  5'
9,'ความเคลื่อนไหวของนักกีฬาทีมชาติไทย ชุดเข้าร่วมการแข่งขันกีฬาโอลิมปิกฤดูหนาว ครั้งที่ 23 พย็องชังเกมส์ 2018 ที่เมืองพย็องชัง ประเทศเกาหลีใต้ ระหว่างวันที่ 925 กพนี้ โดย ประเทศไทย ได้สิทธิ์เข้าร่วมการแข่งขันทั้งหมด 4 คน ได้แก่ ประเภทครอสคันทรีชาย มาร์ค มรรค จันทร์เหลือง กับ ประเภทครอสคันทรีหญิง คาเรน จันทร์เหลือง ซึ่งทั้งคู่เป็นพี่น้องลูกครึ่งไทยอิตาลี และประเภทอัลไพน์ชาย นิโคลา ซาโนน ลูกครึ่งไทยอิตาลี กับ ประเภทอัลไพน์หญิง อเล็กเซีย เชนเคิล ลูกครึ่งไทยสวิตเซอร์แลนด์ล่าสุด คุณหญิงปัทมา ลีสวัสดิ์ตระกูล คณะกรรมการโอลิมปิกสากล ไอโอซี เมมเบอร์ ซึ่งเดินทางไปร่วมประชุมไอโอซี และให้กำลังใจนักกีฬาทีมชาติไทย เปิดเผยว่า สภาพอากาศทั่วไปหนาวเย็นมาก ลมพัดแรงตลอดเวลา บางช่วงบางวันอากาศลบถึง 20 องศาเซลเซียส ท้องฟ้าแจ่มใสตลอดเวลา มีแดดทุกวัน โดยนักกีฬาส่วนใหญ่พอใจกับสถาพอากาศ ส่วนเจ้าภาพมีความพร้อมในทุกด้าน ขณะที่ระบบการรักษาความปลอดภัยเป็นไปอย่างเข้มงวดเพื่อดูแลนักกีฬา เจ้าหน้าที่จากทั่วโลกที่เดินทางมาอย่างดีที่สุด โดยเมื่อวันที่ 8 กพ ได้มีพิธีเชิญธงชาติไทยขึ้นสู่ยอดเสา มี ซุง มิน ยู ไอโอซีเมมเบอร์ของเกาหลีใต้ เป็นประธานในพิธี พร้อมนักกีฬา เจ้าหน้าที่ของไทย ร่วมเป็นเกียรติด้วยคุณหญิงปัทมา กล่าวอีกว่า ส่วนความพร้อมของนักกีฬาไทยนั้น จากการสอบถามทุกคนพร้อมแล้วที่จะสร้างชื่อเสียงให้ประเทศไทย เชื่อมั่นว่าผลงานของไทยจะไต่ระดับขึ้นมาดีกว่าเดิมแน่นอน โดย คาเรน จะประเดิมแข่งขันสนามสกี ครอสคันทรีหญิง เป็นคนแรก ในวันที่ 10 กพนี้                                                                  5'
